POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_ECM Driver Id;DRIVER1_ECM Country Id;DRIVER1_*Extra 3;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_ECM Driver Id;DRIVER2_ECM Country Id;DRIVER2_*Extra 3;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_ECM Driver Id;DRIVER3_ECM Country Id;DRIVER3_*Extra 3;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_ECM Driver Id;DRIVER4_ECM Country Id;DRIVER4_*Extra 3;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_ECM Driver Id;DRIVER5_ECM Country Id;DRIVER5_*Extra 3;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_ECM Driver Id;DRIVER6_ECM Country Id;DRIVER6_*Extra 3;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;51;2;3:26.540;-;-;237.5;5;Ferrari AF Corse;HYPERCAR;;;Ferrari 499P;M;107131;6293;;6192;3;;;;FERRARI AF CORSE;;Alessandro;PIER GUIDI;P;;ITA;PGU;340;;;01:00:00;None;James;CALADO;P;;GBR;;300;;;01:00:00;None;Antonio;GIOVINAZZI;P;;ITA;;1976;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
2;50;2;3:26.896;+0.356;+0.356;237.1;4;Ferrari AF Corse;HYPERCAR;;;Ferrari 499P;M;107134;7456;;6192;3;;;;FERRARI AF CORSE;;Antonio;FUOCO;P;;ITA;;10091;;;01:00:00;None;Nicklas;NIELSEN;P;;DEN;;9432;;;01:00:00;None;Miguel;MOLINA;P;;ESP;;8526;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
3;8;2;3:27.001;+0.461;+0.105;237.0;4;Toyota Racing;HYPERCAR;;;Toyota TR010 Hybrid;M;107132;7454;;6206;2;;;;TOYOTA RACING;;Sébastien;BUEMI;P;;SUI;;138;;;01:00:00;None;Brendon;HARTLEY;P;;NZL;;152;;;01:00:00;None;Ryo;HIRAKAWA;P;;JPN;;8166;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
4;36;3;3:27.308;+0.768;+0.307;236.6;3;Alpine Endurance Team;HYPERCAR;;;Alpine A424;M;107127;7453;;6237;21;;;;ALPINE;;Frédéric;MAKOWIECKI;P;;FRA;;61;;;01:00:00;None;Jules;GOUNON;P;;FRA;;9500;;;01:00:00;None;Victor;MARTINS;G;;FRA;MRS;11671;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
5;19;4;3:27.310;+0.770;+0.002;236.6;4;Genesis Magma Racing;HYPERCAR;;;Genesis GMR-001-Hypercar;M;107136;7119;;6291;4452;;;;GENESIS MAGMA;;Mathieu;JAMINET;P;;FRA;JMT;9415;;;01:00:00;None;Paul-Loup;CHATIN;G;;FRA;;313;;;01:00:00;None;Daniel;JUNCADELLA;P;;ESP;;11275;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
6;7;2;3:27.369;+0.829;+0.059;236.5;5;Toyota Racing;HYPERCAR;;;Toyota TR010 Hybrid;M;107133;7455;;6206;2;;;;TOYOTA RACING;;Mike;CONWAY;P;;GBR;;215;;;01:00:00;None;Kamui;KOBAYASHI;P;;JPN;;210;;;01:00:00;None;Nyck;DE VRIES;P;;NED;DVR;9152;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
7;35;3;3:28.143;+1.603;+0.774;235.7;4;Alpine Endurance Team;HYPERCAR;;;Alpine A424;M;107126;7452;;6237;21;;;;ALPINE;;António;FÉLIX DA COSTA;P;;POR;FDC;9024;;;01:00:00;None;Charles;MILESI;P;;FRA;;9594;;;01:00:00;None;Ferdinand;HABSBURG;G;;AUT;;10000;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
8;38;4;3:28.156;+1.616;+0.013;235.7;5;Cadillac Hertz Team Jota;HYPERCAR;;;Cadillac V-Series.R;M;107124;6429;;6203;4097;;;;CADILLAC HTJ;;Sébastien;BOURDAIS;P;;FRA;;98;;;01:00:00;None;Earl;BAMBER;P;;NZL;;1290;;;01:00:00;None;Jack;AITKEN;P;;GBR;;10508;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
9;20;5;3:28.315;+1.775;+0.159;235.5;5;BMW M Team WRT;HYPERCAR;;;BMW M Hybrid V8;M;107129;6359;;6276;4354;;;;BMW M TEAM WRT;;Robin;FRIJNS;P;;NED;;9871;;;01:00:00;None;René;RAST;P;;GER;;307;;;01:00:00;None;Sheldon;VAN DER LINDE;P;;RSA;VDL;11274;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
10;93;3;3:28.655;+2.115;+0.340;235.1;4;Peugeot Totalenergies;HYPERCAR;;;Peugeot 9X8;M;107176;6151;;6112;4014;;;;PEUGEOT TE;;Paul;DI RESTA;P;;GBR;DIR;9293;;;01:00:00;None;Stoffel;VANDOORNE;P;;BEL;;9520;;;01:00:00;None;Nick;CASSIDY;P;;NZL;CAY;9714;;;01:00:00;None;;;;;;;;;;;;;;;;;;;
